rating	date	verified_review	feedback	variation
5	31-Jul-18	"This was really awesome an awesome movie,"	1	Charcoal Fabric
5	31-Jul-18	"Great movie! Ilikes it a lot,"	1	Charcoal Fabric
4	31-Jul-18	"Happy Ending! Awesome Acting by hero,"	1	Walnut Finish
5	31-Jul-18	"loved it!,"	1	Charcoal Fabric
5	31-Jul-18	"Bad not upto the mark,"	1	Charcoal Fabric
5	31-Jul-18	"Could have been better,"	1	Heather Gray Fabric
3	31-Jul-18	really Dissapointed by the movie	1	Sandstone Fabric
5	31-Jul-18	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	1	Charcoal Fabric
5	30-Jul-18	The fries were great too.	1	Heather Gray Fabric
5	30-Jul-18	A great touch.	1	Heather Gray Fabric
5	30-Jul-18	Service was very prompt.	1	Charcoal Fabric
5	30-Jul-18	Would not go back.	1	Charcoal Fabric
5	30-Jul-18	The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	1	Oak Finish
5	30-Jul-18	"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!"	1	Charcoal Fabric
5	30-Jul-18	I was disgusted because I was pretty sure that was human hair.	1	Oak Finish
5	30-Jul-18	I was shocked because no signs indicate cash only.	1	Heather Gray Fabric
5	30-Jul-18	Highly recommended.	1	Heather Gray Fabric
5	30-Jul-18	Waitress was a little slow in service.	1	Heather Gray Fabric
5	30-Jul-18	"This place is not worth your time, let alone Vegas."	1	Charcoal Fabric
4	30-Jul-18	did not like at all.	1	Sandstone Fabric
5	30-Jul-18	The Burrittos Blah!	1	Charcoal Fabric
5	30-Jul-18	"The food, amazing."	1	Charcoal Fabric
4	30-Jul-18	Service is also cute.	1	Heather Gray Fabric
5	30-Jul-18	I could care less... The interior is just beautiful.	1	Charcoal Fabric
3	30-Jul-18	So they performed.	1	Sandstone Fabric
5	30-Jul-18	That's right....the red velvet cake.....ohhh this stuff is so good.	1	Sandstone Fabric
5	30-Jul-18	- They never brought a salad we asked for.	1	Charcoal Fabric
5	30-Jul-18	"This hole in the wall has great Mexican street tacos, and friendly staff."	1	Charcoal Fabric
4	30-Jul-18	"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."	1	Charcoal Fabric
